_id,article_link_list,article_mall,article_referrals,article_date_full,article_price,article_worthy,article_is_sold_out,article_id,article_channel,article_tese_tags,article_comment,article_unworthy,article_author,article_item_title_mode,taobao_url,is_out,timesort,top_category,create_date,article_channel_url,article_link,article_category,link_nofollow,article_mall_url,is_black_five,article_is_timeout,article_url,article_channel_id,article_date,article_title,article_collection,article_link_domain,action
6043125,?,京东,?,2016-03-09 09:43:00,199元包邮,28,0,6043125,过期,?,63,18,293,0,?,true,145748779112,家用电器,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/36F418FADC239B69/AA_YH_27,?,?,http://www.smzdm.com/mall/jd/youhui/,0,1,http://www.smzdm.com/p/6043125/,3,03-09 09:43,PHILIPS 飞利浦 HR1608/03 手持式榨汁机,51,jd.com,?
6043117,?,天猫精选,怎么就这么帅,2016-03-09 09:41:00,2999元包邮,26,0,6043117,优惠,?,81,55,293,0,?,false,145748768911,家用电器,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=523962473855,?,?,http://www.smzdm.com/mall/tmall/youhui/,0,0,http://www.smzdm.com/p/6043117/,3,03-09 09:41,Haier 海尔 Leader 统帅 BCD-453WLDPG 对开门冰箱,100,tmall.com,?
25639,?,?,?,2016-03-09 09:30:00,?,?,?,25639,公告,?,14,?,353,?,?,?,145748700210,?,2016-03-10 17:23:31,http://news.smzdm.com/gonggao/,http://test.smzdm.com/p/3806,?,null,?,0,?,http://news.smzdm.com/p/25639,6,03-09 09:30,【众测首发】新品免费体验：高特 一体式运动近视太阳镜和 JPGOODBUY 转运 300元体验券,30,smzdm.com,?
6043078,?,京东,changx,2016-03-09 09:24:00,19.9元（39.9-20）,95,0,6043078,优惠,?,137,24,23,0,?,false,145748666009,食品保健,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/12AB181B83E4F441/AA_YH_95,?,?,http://www.smzdm.com/mall/jd/youhui/,0,0,http://www.smzdm.com/p/6043078/,3,03-09 09:24,移动端：Maxwell House 麦斯威尔 香醇咖啡 100g,70,jd.com,?
6043089,?,京东,负一摄氏度,2016-03-09 09:23:00,1889元包邮（2099-210）,205,0,6043089,过期,?,134,68,263,0,?,true,145748661608,电脑数码,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/CDF6DFAE4F6BC050/AA_YH_163,?,?,http://www.smzdm.com/mall/jd/youhui/,0,1,http://www.smzdm.com/p/6043089/,3,03-09 09:23,移动端：MAXSUN 铭瑄 GTX970 JetStream 4G 1152-1304MHz/7010MHz 显卡,46,jd.com,?
6043038,?,Ashford,"白菜特价包邮,ququ701",2016-03-09 09:15:00,$888（需用码，约￥5870）,49,0,6043038,海淘,?,41,24,305,0,?,false,145748615807,礼品钟表,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/1E31E5AB2FB1D93F/AA_HT_131,?,rel=”nofollow”,http://www.smzdm.com/mall/ashford/haitao/,0,0,http://www.smzdm.com/p/6043038/,3,03-09 09:15,BAUME & MERCIER 名士 Classima 克莱斯麦系列 MOA08686 男款机械腕表,85,ashford.com,?
6043052,?,美国新蛋,wtxrichard,2016-03-09 09:12:00,$109.99（需用码，约￥770）,307,0,6043052,海淘,?,234,16,263,0,?,false,145748594106,电脑数码,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/32D295DEF4AB830E/AA_HT_163,?,rel=”nofollow”,http://www.smzdm.com/mall/newegg/haitao/,0,0,http://www.smzdm.com/p/6043052/,3,03-09 09:12,OCZ 饥饿鲨 ARC100 苍穹系列 480G 固态硬盘,110,newegg.com,?
6032792,?,亚马逊中国,?,2016-03-09 09:12:00,7599元包邮（用码立减500）,251,0,6032792,优惠,?,316,54,723,0,?,false,145748592305,家居家装,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/4C99B38B23F84E0B/AA_YH_37,?,?,http://www.smzdm.com/mall/amazon_cn/youhui/,0,0,http://www.smzdm.com/p/6032792/,3,03-09 09:12,值友专享：KINGKOIL 金可儿 威斯汀酒店繁星A（天梦之床升级款） 1.8m*2m + 七孔枕一对,313,amazon.cn,?
6043065,?,Finish Line,kuwait,2016-03-09 09:10:00,$69.98（约￥575）,166,0,6043065,海淘,?,287,32,513,0,?,false,145748582604,运动户外,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/D39A5F517531506E/AA_HT_191,?,rel=”nofollow”,http://www.smzdm.com/mall/finishline/haitao/,0,0,http://www.smzdm.com/p/6043065/,3,03-09 09:10,限8-9码：ASICS 亚瑟士 GEL-NIMBUS 17 男士缓震跑鞋,154,finishline.com,?
6043047,?,京东,morricone,2016-03-09 08:57:00,1008元包邮（双重优惠）,52,0,6043047,优惠,?,91,152,263,0,?,false,145748504503,电脑数码,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/F931B64BEC0E9F9C/AA_YH_163,?,?,http://www.smzdm.com/mall/jd/youhui/,0,0,http://www.smzdm.com/p/6043047/,3,03-09 08:57,AKG  爱科技 Q701 昆西琼斯系列 头戴式耳机,25,jd.com,?
6043019,?,macy s,maxmars,2016-03-09 08:44:00,1080.56元+213.05元含税直邮（需用码，约￥1294）,59,0,6043019,海淘,?,193,42,305,0,?,false,145748425302,服饰鞋包,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/6162A344DE6AF828/AA_HT_57,?,rel=”nofollow”,http://www.smzdm.com/mall/macys/haitao/,0,0,http://www.smzdm.com/p/6043019/,3,03-09 08:44,MICHAEL Michael Kors Cynthia Medium 女款真皮手提包,178,macys.com,?
6043014,?,京东,真中淳平,2016-03-09 08:38:00,1169元包邮（1289-120）,133,0,6043014,优惠,?,96,47,263,0,?,false,145748388601,电脑数码,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/86F19E444020D87A/AA_YH_163,?,?,http://www.smzdm.com/mall/jd/youhui/,0,0,http://www.smzdm.com/p/6043014/,3,03-09 08:38,移动端：LG  24MP76HM 23.8英寸 LED背光IPS 二代超窄边框显示器,140,jd.com,?
6042985,?,6PM,黑色郁金香sias,2016-03-09 08:24:00,$58.49（需用码，约￥460）,18,0,6042985,海淘,?,47,13,587,0,?,false,145748308100,服饰鞋包,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/4BDDC6859F337203/AA_HT_57,?,rel=”nofollow”,http://www.smzdm.com/mall/6pm/haitao/,0,0,http://www.smzdm.com/p/6042985/,3,03-09 08:24,再降价：TOMMY HILFIGER Large Hobo 女士单肩包,22,6pm.com,?
6042979,?,亚马逊中国,蚊子肉也好,2016-03-09 08:17:00,69元包邮,108,0,6042979,过期,?,146,54,23,0,?,true,145748262999,食品保健,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/7ED8320548A40313/AA_YH_95,?,?,http://www.smzdm.com/mall/amazon_cn/youhui/,0,1,http://www.smzdm.com/p/6042979/,3,03-09 08:17,Devondale 德运 全脂牛奶1L*10(澳大利亚进口),52,amazon.cn,?
6042973,?,京东,majesse,2016-03-09 08:17:00,2698.2元包邮（满两件9折）,64,0,6042973,优惠,?,176,43,375,0,?,false,145748262898,家用电器,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/5CC69BC013CB1F22/AA_YH_27,?,?,http://www.smzdm.com/mall/jd/youhui/,0,0,http://www.smzdm.com/p/6042973/,3,03-09 08:17,Midea 美的  WQP8-3905-CN 嵌入式 洗碗机+凑单品,99,jd.com,?
6042976,?,京东全球购,冰原之柱,2016-03-09 08:14:00,29.9元（买二免一）,72,0,6042976,海淘,?,120,15,475,0,?,false,145748247297,个护化妆,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/27F2891626A31784/AA_HT_113,?,rel=”nofollow”,http://www.smzdm.com/mall/jd_hk/haitao/,0,0,http://www.smzdm.com/p/6042976/,3,03-09 08:14,移动端：aussie Moist Conditioner 保湿护发素 400ml*2瓶,47,jd.com,?
6042965,?,1号店,浮华年生,2016-03-09 08:04:00,92.8元（低件6折）,70,0,6042965,优惠,?,155,16,417,0,?,false,145748185596,母婴用品,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/CB8FC04634CCF887/AA_YH_75,?,?,http://www.smzdm.com/mall/yhd/youhui/,0,0,http://www.smzdm.com/p/6042965/,3,03-09 08:04,MamyPoko 妈咪宝贝 超特级云柔绵抱 婴儿纸尿裤 S76 *2件,42,yhd.com,?
6042957,?,亚马逊中国,zhshd,2016-03-09 07:56:00,￥144.23 + ￥20.19直邮中国（约￥165）,30,1,6042957,售罄,?,110,65,417,0,?,true,145748137995,日用百货,2016-03-10 17:23:31,http://haitao.smzdm.com/,http://www.smzdm.com/gourl/D37C3ACD0A7D68CD/AA_HT_1515,?,rel=”nofollow”,http://www.smzdm.com/mall/amazon_cn/haitao/,0,0,http://www.smzdm.com/p/6042957/,3,03-09 07:56,TIGER 虎牌 MMY-A048-RY 真空保温杯 480ml,41,amazon.cn,?
6042953,?,天猫精选,maocui1010,2016-03-09 07:51:00,0.1元+10元运费,49,1,6042953,售罄,?,201,410,417,0,?,true,145748108894,日用百货,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=38525371205,?,?,http://www.smzdm.com/mall/tmall/youhui/,0,0,http://www.smzdm.com/p/6042953/,3,03-09 07:51,Henckels 亨克斯 HI Cologne 科隆系列 刨皮刀,49,tmall.com,?
6042944,?,亚马逊中国,?,2016-03-09 07:32:00,20160309，可重点关注食物垃圾处理器、电子手写板,26,0,6042944,优惠,?,26,12,349,0,?,false,145747998393,日用百货,2016-03-10 17:23:31,http://www.smzdm.com/youhui/,http://www.smzdm.com/gourl/9A45198B371C77E9/AA_YH_1515,?,?,http://www.smzdm.com/mall/amazon_cn/youhui/,0,0,http://www.smzdm.com/p/6042944/,3,03-09 07:32,今日Z秒杀：沈从文小说、双立人刀具套装、佳明行车记录仪等,23,amazon.cn,?
